col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
,,,,,,,,,
N�rgaard,,,,,,,,,
MD 5.5,,,,,,,,,
13,0.6,0.7,0.7,0.7,0.8,3.5,0.13,0.70%,Submit
,,,,,,,,,
Summerville,,,,,,,,,
MD 5.5,,,,,,,,,
0,0,0,0,1.1,2.3,3.4,0.12,0.00%,Submit
,,,,,,,,,
Wissa,,,,,,,,,
FW 7.5,,,,,,,,,
0,0,0,0,1,2.3,3.3,0.09,4.50%,Submit
,,,,,,,,,
Tzimas,,,,,,,,,
FW 5.5,,,,,,,,,
6,0.5,0.4,0.7,0.7,0.9,3.3,0.12,0.10%,Submit
,,,,,,,,,
Gray,,,,,,,,,
MD 5.0,,,,,,,,,
15,0.6,0.5,0.6,0.8,0.8,3.3,0.13,0.20%,Submit
,,,,,,,,,
Kiwior,,,,,,,,,
DF 5.5,,,,,,,,,
5,0.2,1.6,0.3,0.5,0.5,3.2,0.12,0.10%,Submit
,,,,,,,,,
A.Ramsey,,,,,,,,,
MD 4.5,,,,,,,,,
5,0.4,0.6,0.6,0.7,1,3.2,0.14,10.90%,Submit
,,,,,,,,,
C. Mosquera,,,,,,,,,
DF 5.5,,,,,,,,,
4,0.2,1.6,0.2,0.7,0.5,3.2,0.12,0.10%,Submit
,,,,,,,,,
Byram,,,,,,,,,
DF 4.0,,,,,,,,,
20,0.8,0.4,0.6,0.7,0.6,3.2,0.16,0.30%,Submit
,,,,,,,,,
Chiesa,,,,,,,,,
MD 6.5,,,,,,,,,
7,0.6,0.5,0.6,0.7,0.8,3.1,0.1,0.10%,Submit
,,,,,,,,,
Weiss,,,,,,,,,
GK 4.5,,,,,,,,,
44,1.5,1.1,0.2,0.1,0.2,3.1,0.14,0.20%,Submit
,,,,,,,,,
L.Miley,,,,,,,,,
MD 4.5,,,,,,,,,
10,0.5,0.7,0.7,0.7,0.5,3.1,0.14,2.90%,Submit
,,,,,,,,,
Gruev,,,,,,,,,
MD 5.0,,,,,,,,,
12,0.5,0.6,0.6,0.7,0.7,3.1,0.12,0.10%,Submit
,,,,,,,,,
Nwaneri,,,,,,,,,
MD 5.5,,,,,,,,,
7,0.5,0.6,0.5,0.8,0.6,3.1,0.11,0.30%,Submit
,,,,,,,,,
Areola,,,,,,,,,
GK 4.5,,,,,,,,,
46,1.9,0.2,0.3,0.3,0.3,3.1,0.14,5.10%,Submit
,,,,,,,,,
Philip,,,,,,,,,
MD 5.0,,,,,,,,,
22,1,1.1,0.3,0.3,0.3,3,0.12,0.10%,Submit
,,,,,,,,,
Barkley,,,,,,,,,
MD 5.0,,,,,,,,,
5,0.3,0.5,0.7,0.8,0.8,2.9,0.12,0.20%,Submit
,,,,,,,,,
Rigg,,,,,,,,,
MD 5.0,,,,,,,,,
10,0.6,0.5,0.6,0.5,0.6,2.8,0.11,0.10%,Submit
,,,,,,,,,
Pinnock,,,,,,,,,
DF 4.5,,,,,,,,,
6,0.3,0.4,1,0.5,0.7,2.8,0.13,0.30%,Submit
,,,,,,,,,
Tuanzebe,,,,,,,,,
DF 4.0,,,,,,,,,
10,0.3,0.6,0.6,0.5,0.8,2.8,0.14,2.80%,Submit
,,,,,,,,,
Buonanotte,,,,,,,,,
MD 5.0,,,,,,,,,
6,0.5,0.5,0.6,0.4,0.6,2.6,0.11,0.20%,Submit
,,,,,,,,,
Bogarde,,,,,,,,,
DF 4.0,,,,,,,,,
11,0.4,0.4,0.5,0.5,0.8,2.6,0.13,0.30%,Submit
,,,,,,,,,
Cairney,,,,,,,,,
MD 5.0,,,,,,,,,
6,0.4,0.4,0.5,0.6,0.6,2.5,0.1,0.00%,Submit
,,,,,,,,,
Zirkzee,,,,,,,,,
FW 6.0,,,,,,,,,
4,0.2,0.5,0.7,0.5,0.7,2.5,0.08,0.40%,Submit
,,,,,,,,,
Bobb,,,,,,,,,
MD 5.5,,,,,,,,,
7,0.5,0.5,0.4,0.5,0.5,2.4,0.09,0.10%,Submit
,,,,,,,,,
Tchaouna,,,,,,,,,
MD 5.0,,,,,,,,,
4,0.3,0.6,0.5,0.4,0.5,2.3,0.09,0.00%,Submit
,,,,,,,,,
�douard,,,,,,,,,
FW 5.0,,,,,,,,,
3,0.2,0.5,0.5,0.8,0.4,2.3,0.09,1.00%,Submit
,,,,,,,,,
Kalajd�i?,,,,,,,,,
FW 5.0,,,,,,,,,
3,0.3,0.3,0.5,0.5,0.7,2.3,0.09,0.10%,Submit
,,,,,,,,,
Lavia,,,,,,,,,
MD 5.0,,,,,,,,,
20,0.2,0.3,0.5,0.6,0.6,2.3,0.09,0.10%,Submit
,,,,,,,,,
Ajer,,,,,,,,,
DF 4.5,,,,,,,,,
10,0.4,0.5,0.6,0.4,0.4,2.3,0.1,0.20%,Submit
,,,,,,,,,
D.Essugo,,,,,,,,,
MD 4.5,,,,,,,,,
9,0.5,0.5,0.5,0.4,0.5,2.3,0.1,0.10%,Submit
,,,,,,,,,
March,,,,,,,,,
MD 6.0,,,,,,,,,
0,0,0,0.4,1.1,0.8,2.3,0.08,0.00%,Submit
,,,,,,,,,
Janelt,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0.5,0.9,0.8,2.2,0.09,0.00%,Submit
,,,,,,,,,
Max Dowman,,,,,,,,,
MD 99.9,,,,,,,,,
0,0,0.6,0.5,0.6,0.6,2.2,0,0.00%,
,,,,,,,,,
Bayindir,,,,,,,,,
GK 5.0,,,,,,,,,
50,1.6,0.3,0,0.1,0.1,2.2,0.09,0.40%,Submit
,,,,,,,,,
Endo,,,,,,,,,
MD 5.0,,,,,,,,,
17,0.8,0.3,0.3,0.4,0.4,2.2,0.09,0.10%,Submit
,,,,,,,,,
Ramsdale,,,,,,,,,
GK 5.0,,,,,,,,,
6,0.2,0.2,0.3,0.6,0.8,2.1,0.08,0.80%,Submit
,,,,,,,,,
Iroegbunam,,,,,,,,,
MD 5.0,,,,,,,,,
4,0.3,0.4,0.5,0.4,0.4,2.1,0.08,0.00%,Submit
,,,,,,,,,
Benson,,,,,,,,,
MD 5.5,,,,,,,,,
4,0.3,0.5,0.4,0.3,0.5,2,0.07,0.00%,Submit
,,,,,,,,,
O'Nien,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.6,1.4,2,0.1,0.00%,Submit
,,,,,,,,,
�lvarez,,,,,,,,,
MD 5.0,,,,,,,,,
4,0.3,0.3,0.4,0.5,0.5,2,0.08,0.20%,Submit
,,,,,,,,,
Watson,,,,,,,,,
MD 5.0,,,,,,,,,
6,0.2,0.4,0.5,0.3,0.5,1.9,0.08,0.00%,Submit
,,,,,,,,,
H.Bueno,,,,,,,,,
DF 4.5,,,,,,,,,
8,0.4,0.3,0.5,0.3,0.5,1.9,0.08,0.10%,Submit
,,,,,,,,,
Roerslev,,,,,,,,,
DF 4.5,,,,,,,,,
10,0.4,0.5,0.4,0.3,0.3,1.9,0.08,0.10%,Submit
,,,,,,,,,
Lamptey,,,,,,,,,
DF 4.5,,,,,,,,,
8,0.4,0.3,0.3,0.3,0.5,1.9,0.08,0.40%,Submit
,,,,,,,,,
Faivre,,,,,,,,,
MD 4.5,,,,,,,,,
6,0.4,0.5,0.3,0.3,0.3,1.9,0.08,0.20%,Submit
,,,,,,,,,
Diop,,,,,,,,,
DF 4.5,,,,,,,,,
11,0.3,0.5,0.3,0.4,0.3,1.8,0.08,0.10%,Submit
,,,,,,,,,
M.Fran�a,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0.7,1.1,1.8,0.08,0.00%,Submit
,,,,,,,,,
Kostoulas,,,,,,,,,
FW 5.0,,,,,,,,,
3,0.3,0.3,0.3,0.4,0.4,1.7,0.07,0.50%,Submit
,,,,,,,,,
Igor,,,,,,,,,
DF 4.5,,,,,,,,,
6,0.1,0.4,0.3,0.4,0.4,1.7,0.07,0.00%,Submit
,,,,,,,,,
George,,,,,,,,,
MD 5.0,,,,,,,,,
8,0.6,0.2,0.3,0.2,0.2,1.6,0.07,0.10%,Submit
,,,,,,,,,
Tsimikas,,,,,,,,,
DF 5.0,,,,,,,,,
4,0.3,0.2,0.3,0.3,0.5,1.6,0.07,0.10%,Submit
,,,,,,,,,
Andrey Santos,,,,,,,,,
MD 4.5,,,,,,,,,
6,0.3,0.4,0.3,0.3,0.4,1.6,0.07,0.30%,Submit
,,,,,,,,,
Kova?i?,,,,,,,,,
MD 6.0,,,,,,,,,
0,0,0,0,0.7,0.9,1.6,0.05,0.00%,Submit
,,,,,,,,,
Raheem Sterling,,,,,,,,,
FW 99.9,,,,,,,,,
4,0.4,0.3,0.3,0.3,0.3,1.6,0,0.00%,
,,,,,,,,,
Jordan,,,,,,,,,
DF 4.0,,,,,,,,,
1,0,0.2,0.3,0.4,0.7,1.6,0.08,0.20%,Submit
,,,,,,,,,
Marshall,,,,,,,,,
FW 4.5,,,,,,,,,
3,0.3,0.3,0.3,0.3,0.3,1.5,0.07,0.70%,Submit
,,,,,,,,,
Poveda,,,,,,,,,
MD 5.0,,,,,,,,,
2,0.2,0.3,0.3,0.2,0.4,1.5,0.06,0.00%,Submit
,,,,,,,,,
Willock,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0,0.5,1,1.5,0.06,0.10%,Submit
,,,,,,,,,
Peart-Harris,,,,,,,,,
MD 4.5,,,,,,,,,
7,0.5,0.4,0.3,0.2,0.1,1.5,0.07,0.00%,Submit
,,,,,,,,,
Obi,,,,,,,,,
FW 4.5,,,,,,,,,
3,0.3,0.2,0.3,0.3,0.4,1.5,0.07,2.70%,Submit
,,,,,,,,,
A.Garc�a,,,,,,,,,
DF 4.0,,,,,,,,,
2,0.2,0.3,0.3,0.3,0.3,1.5,0.07,0.50%,Submit
,,,,,,,,,
Benitez,,,,,,,,,
GK 4.0,,,,,,,,,
7,0.2,0.2,0.3,0.4,0.3,1.4,0.07,0.40%,Submit
,,,,,,,,,
Mepham,,,,,,,,,
DF 4.0,,,,,,,,,
14,0.4,0.2,0.3,0.3,0.2,1.4,0.07,0.20%,Submit
,,,,,,,,,
Soler,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0.4,0.4,0.2,0.4,1.4,0.07,0.30%,Submit
,,,,,,,,,
Roberts,,,,,,,,,
DF 4.5,,,,,,,,,
9,0.3,0.3,0.2,0.2,0.3,1.4,0.06,0.10%,Submit
,,,,,,,,,
Browne,,,,,,,,,
MD 4.5,,,,,,,,,
3,0.2,0.3,0.3,0.3,0.3,1.4,0.06,0.10%,Submit
,,,,,,,,,
Davies,,,,,,,,,
DF 4.5,,,,,,,,,
7,0.3,0.2,0.2,0.4,0.2,1.3,0.06,0.10%,Submit
,,,,,,,,,
Heaven,,,,,,,,,
DF 4.0,,,,,,,,,
5,0.2,0.2,0.4,0.2,0.3,1.3,0.07,1.70%,Submit
,,,,,,,,,
Mamardashvili,,,,,,,,,
GK 4.5,,,,,,,,,
2,0.1,0.2,0.2,0.4,0.4,1.3,0.06,0.50%,Submit
,,,,,,,,,
Jair Cunha,,,,,,,,,
DF 4.5,,,,,,,,,
4,0.1,0.2,0.4,0.2,0.4,1.3,0.06,0.10%,Submit
,,,,,,,,,
Carney Chukwuemeka,,,,,,,,,
MD 99.9,,,,,,,,,
3,0.3,0.3,0.1,0.2,0.3,1.3,0,0.00%,
,,,,,,,,,
Schmidt,,,,,,,,,
DF 4.0,,,,,,,,,
17,0.8,0.1,0.1,0.2,0.1,1.3,0.06,0.20%,Submit
,,,,,,,,,
Irving,,,,,,,,,
MD 4.5,,,,,,,,,
3,0.3,0.2,0.2,0.3,0.3,1.3,0.06,0.30%,Submit
,,,,,,,,,
Nkunku,,,,,,,,,
MD 6.0,,,,,,,,,
0,0,0,0.2,0.6,0.5,1.2,0.04,0.20%,Submit
,,,,,,,,,
Sima,,,,,,,,,
MD 5.5,,,,,,,,,
3,0.3,0.2,0.3,0.2,0.2,1.2,0.04,0.00%,Submit
,,,,,,,,,
Humphreys,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.2,0.9,1.1,0.06,0.10%,Submit
,,,,,,,,,
Stamenic,,,,,,,,,
MD 4.5,,,,,,,,,
2,0.1,0.1,0.3,0.3,0.3,1.1,0.05,0.10%,Submit
,,,,,,,,,
Valdimarsson,,,,,,,,,
GK 4.0,,,,,,,,,
18,0.7,0.1,0.2,0.1,0.1,1.1,0.05,1.20%,Submit
,,,,,,,,,
O.Richards,,,,,,,,,
DF 4.5,,,,,,,,,
2,0.1,0.2,0.4,0.1,0.2,1.1,0.05,0.10%,Submit
,,,,,,,,,
Coleman,,,,,,,,,
DF 4.5,,,,,,,,,
5,0.2,0.2,0.2,0.2,0.2,1,0.05,0.20%,Submit
,,,,,,,,,
Cornet,,,,,,,,,
MD 5.0,,,,,,,,,
1,0.1,0.2,0.3,0.3,0.2,1,0.04,0.00%,Submit
,,,,,,,,,
Alex Moreno,,,,,,,,,
DF 4.0,,,,,,,,,
2,0.1,0.1,0.2,0.2,0.3,1,0.05,10.40%,Submit
,,,,,,,,,
Zinchenko,,,,,,,,,
DF 5.0,,,,,,,,,
2,0.1,0.2,0.2,0.3,0.2,1,0.04,0.30%,Submit
,,,,,,,,,
O�Reilly,,,,,,,,,
DF 5.0,,,,,,,,,
3,0.2,0.2,0.2,0.2,0.2,1,0.04,0.20%,Submit
,,,,,,,,,
Trafford,,,,,,,,,
GK 5.0,,,,,,,,,
2,0.1,0.1,0.3,0.2,0.3,0.9,0.04,2.00%,Submit
,,,,,,,,,
Martinez,,,,,,,,,
DF 5.0,,,,,,,,,
0,0,0,0,0,0.9,0.9,0.04,0.30%,Submit
,,,,,,,,,
Acheampong,,,,,,,,,
DF 4.0,,,,,,,,,
4,0.2,0.2,0.3,0.1,0.2,0.9,0.05,0.30%,Submit
,,,,,,,,,
Delcroix,,,,,,,,,
DF 4.0,,,,,,,,,
10,0.3,0.3,0.2,0.1,0.1,0.9,0.05,0.40%,Submit
,,,,,,,,,
Y.Chermiti,,,,,,,,,
FW 5.0,,,,,,,,,
0,0,0.1,0.3,0.2,0.2,0.9,0.04,0.20%,Submit
,,,,,,,,,
David Datro Fofana,,,,,,,,,
FW 99.9,,,,,,,,,
2,0.3,0.1,0.2,0.1,0.2,0.9,0,0.00%,
,,,,,,,,,
Leif Davis,,,,,,,,,
DF 99.9,,,,,,,,,
0,0,0,0,0.4,0.5,0.9,0,0.00%,
,,,,,,,,,
Worrall,,,,,,,,,
DF 4.0,,,,,,,,,
6,0.2,0.4,0.2,0.1,0.1,0.9,0.04,0.20%,Submit
,,,,,,,,,
Arrizabalaga,,,,,,,,,
GK 4.5,,,,,,,,,
2,0.1,0.1,0.2,0.3,0.3,0.9,0.04,1.00%,Submit
,,,,,,,,,
Mateus Man�,,,,,,,,,
FW 99.9,,,,,,,,,
0,0,0.1,0.3,0.2,0.3,0.9,0,0.00%,
,,,,,,,,,
Ahamada,,,,,,,,,
MD 4.5,,,,,,,,,
2,0.1,0.2,0.2,0.1,0.2,0.8,0.04,0.00%,Submit
,,,,,,,,,
Pembele,,,,,,,,,
DF 4.0,,,,,,,,,
3,0.1,0.1,0.3,0.2,0.1,0.8,0.04,0.20%,Submit
,,,,,,,,,
Josh Bowler,,,,,,,,,
FW 99.9,,,,,,,,,
1,0.1,0.1,0.1,0.1,0.3,0.8,0,0.00%,
,,,,,,,,,
J�rgensen,,,,,,,,,
GK 4.5,,,,,,,,,
3,0.1,0.1,0.1,0.2,0.2,0.8,0.03,0.20%,Submit
,,,,,,,,,
Iling Jr,,,,,,,,,
MD 5.5,,,,,,,,,
1,0.1,0.1,0.1,0.2,0.3,0.8,0.03,0.00%,Submit
,,,,,,,,,
J.Rak-Sakyi,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0.2,0.1,0.2,0.1,0.7,0.03,0.10%,Submit
,,,,,,,,,
Pedro Lima,,,,,,,,,
DF 4.0,,,,,,,,,
5,0.2,0.1,0.1,0.1,0.2,0.7,0.03,1.20%,Submit
,,,,,,,,,
Solomon,,,,,,,,,
MD 5.5,,,,,,,,,
0,0,0,0.1,0.2,0.3,0.7,0.02,0.00%,Submit
,,,,,,,,,
Sarmiento,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0.1,0.1,0.1,0.3,0.6,0.03,0.00%,Submit
,,,,,,,,,
Patterson,,,,,,,,,
GK 4.5,,,,,,,,,
1,0.1,0.1,0.1,0.1,0.2,0.6,0.03,0.40%,Submit
,,,,,,,,,
Greenwood,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0.2,0.2,0.2,0.6,0.02,0.10%,Submit
,,,,,,,,,
Obafemi,,,,,,,,,
FW 4.5,,,,,,,,,
2,0.2,0.2,0,0.1,0.1,0.6,0.03,0.50%,Submit
,,,,,,,,,
Winterburn,,,,,,,,,
MD 4.5,,,,,,,,,
2,0.2,0.4,0,0,0,0.6,0.02,0.10%,Submit
,,,,,,,,,
Hladk�,,,,,,,,,
GK 4.0,,,,,,,,,
11,0.4,0.2,0,0,0,0.5,0.03,0.20%,Submit
,,,,,,,,,
Krafth,,,,,,,,,
DF 4.5,,,,,,,,,
1,0,0.1,0.2,0.1,0.1,0.5,0.02,0.10%,Submit
,,,,,,,,,
Kinsky,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0.1,0.2,0.1,0.2,0.5,0.03,2.70%,Submit
,,,,,,,,,
Da Silva Moreira,,,,,,,,,
MD 4.5,,,,,,,,,
2,0.1,0.1,0.1,0.1,0.2,0.5,0.02,0.20%,Submit
,,,,,,,,,
Lecomte,,,,,,,,,
GK 4.0,,,,,,,,,
1,0.1,0.1,0.1,0.1,0.2,0.5,0.03,0.90%,Submit
,,,,,,,,,
Dennis,,,,,,,,,
GK 4.0,,,,,,,,,
1,0,0.1,0.1,0.1,0.2,0.5,0.03,0.90%,Submit
,,,,,,,,,
Godo,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0.2,0.1,0.1,0.1,0.5,0.02,0.10%,Submit
,,,,,,,,,
Bajcetic,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0.2,0.3,0.5,0.02,0.10%,Submit
,,,,,,,,,
Darlow,,,,,,,,,
GK 4.0,,,,,,,,,
3,0.1,0.1,0.1,0.1,0.1,0.5,0.02,4.10%,Submit
,,,,,,,,,
Axel Disasi,,,,,,,,,
DF 99.9,,,,,,,,,
1,0.1,0.1,0.1,0.1,0.1,0.5,0,0.00%,
,,,,,,,,,
Reed,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0.1,0.2,0.2,0.4,0.02,0.30%,Submit
,,,,,,,,,
Bryan,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0,0.1,0.3,0.4,0.02,0.10%,Submit
,,,,,,,,,
Neave,,,,,,,,,
FW 4.5,,,,,,,,,
1,0.2,0.1,0.2,0,0,0.4,0.02,0.20%,Submit
,,,,,,,,,
B.Badiashile,,,,,,,,,
DF 4.5,,,,,,,,,
0,0,0,0,0.1,0.3,0.4,0.02,0.00%,Submit
,,,,,,,,,
Collyer,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0.1,0.1,0.2,0.1,0.4,0.02,0.10%,Submit
,,,,,,,,,
Steele,,,,,,,,,
GK 4.5,,,,,,,,,
0,0,0,0.1,0.1,0.2,0.4,0.02,0.50%,Submit
,,,,,,,,,
Travers,,,,,,,,,
GK 4.5,,,,,,,,,
1,0,0,0.1,0.1,0.2,0.4,0.02,0.20%,Submit
,,,,,,,,,
R.Williams,,,,,,,,,
DF 4.0,,,,,,,,,
1,0,0.1,0.1,0.1,0.1,0.4,0.02,0.20%,Submit
,,,,,,,,,
Barnes,,,,,,,,,
FW 4.5,,,,,,,,,
1,0.1,0.1,0.1,0,0,0.4,0.02,3.00%,Submit
,,,,,,,,,
Buend�a,,,,,,,,,
MD 5.5,,,,,,,,,
1,0.1,0,0,0,0.2,0.3,0.01,0.20%,Submit
,,,,,,,,,
Johnstone,,,,,,,,,
GK 4.5,,,,,,,,,
0,0,0.1,0,0.1,0.1,0.3,0.01,0.20%,Submit
,,,,,,,,,
Gunn,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0.1,0,0.1,0.3,0.01,1.40%,Submit
,,,,,,,,,
Scarlett,,,,,,,,,
FW 4.5,,,,,,,,,
0,0,0.2,0.1,0,0,0.3,0.01,0.80%,Submit
,,,,,,,,,
Malacia,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0.1,0.1,0.1,0,0.3,0.01,0.30%,Submit
,,,,,,,,,
Bamford,,,,,,,,,
FW 5.0,,,,,,,,,
0,0,0,0,0.1,0.1,0.3,0.01,2.40%,Submit
,,,,,,,,,
Hjelde,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.1,0.2,0.3,0.01,0.00%,Submit
,,,,,,,,,
Nelson,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0,0.1,0.2,0.3,0.01,0.10%,Submit
,,,,,,,,,
C.Miguel,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0.1,0.1,0.3,0.01,0.20%,Submit
,,,,,,,,,
Armstrong,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0.1,0.1,0.3,0.01,0.20%,Submit
,,,,,,,,,
Cirkin,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.1,0.2,0.2,0.01,0.10%,Submit
,,,,,,,,,
Renato Veiga,,,,,,,,,
DF 99.9,,,,,,,,,
0,0,0.1,0.1,0.1,0.1,0.2,0,0.00%,
,,,,,,,,,
Jimoh-Aloba,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0.1,0.1,0.2,0.01,0.10%,Submit
,,,,,,,,,
Kuol,,,,,,,,,
MD 4.5,,,,,,,,,
1,0.1,0,0.1,0,0,0.2,0.01,0.10%,Submit
,,,,,,,,,
Ji-soo,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.1,0.1,0.2,0.01,0.20%,Submit
,,,,,,,,,
Anto�ito C.,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0.1,0.1,0,0,0.2,0.01,0.00%,Submit
,,,,,,,,,
Amass,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0.1,0.1,0.1,0.2,0.01,0.20%,Submit
,,,,,,,,,
Huggins,,,,,,,,,
DF 4.0,,,,,,,,,
4,0.1,0,0.1,0,0,0.2,0.01,0.20%,Submit
,,,,,,,,,
Sambi,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0.1,0.1,0.2,0.01,0.10%,Submit
,,,,,,,,,
Boly,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0.1,0,0.1,0.2,0.01,0.50%,Submit
,,,,,,,,,
Danns,,,,,,,,,
FW 4.5,,,,,,,,,
0,0,0,0,0,0.2,0.2,0.01,0.20%,Submit
,,,,,,,,,
Nunes,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0,0,0.2,0.2,0.01,0.00%,Submit
,,,,,,,,,
Emerson,,,,,,,,,
DF 4.5,,,,,,,,,
0,0,0.1,0,0,0.1,0.2,0.01,0.20%,Submit
,,,,,,,,,
Maghoma,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0.1,0.1,0,0.1,0.01,0.10%,Submit
,,,,,,,,,
Alese,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.1,0.1,0.1,0.01,0.00%,Submit
,,,,,,,,,
Nallo,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0.1,0,0.1,0.1,0.01,0.10%,Submit
,,,,,,,,,
Redmond,,,,,,,,,
FW 4.5,,,,,,,,,
0,0,0,0,0,0.1,0.1,0,0.80%,Submit
,,,,,,,,,
Konak,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0.1,0,0,0,0.1,0,0.20%,Submit
,,,,,,,,,
Alfie Gilchrist,,,,,,,,,
DF 99.9,,,,,,,,,
0,0,0,0,0.1,0,0.1,0,0.00%,
,,,,,,,,,
Akinmboni,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0.1,0,0.30%,Submit
,,,,,,,,,
Cox,,,,,,,,,
GK 4.0,,,,,,,,,
2,0.1,0,0,0,0,0.1,0,0.20%,Submit
,,,,,,,,,
Targett,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0.1,0,0.1,0,0.50%,Submit
,,,,,,,,,
Pond,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,1.70%,Submit
,,,,,,,,,
Heaton,,,,,,,,,
GK 4.0,,,,,,,,,
1,0,0,0,0,0,0,0,0.30%,Submit
,,,,,,,,,
Rio Cardines,,,,,,,,,
DF 99.9,,,,,,,,,
0,0,0,0,0,0,0,0,0.00%,
,,,,,,,,,
Triantis,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.10%,Submit
,,,,,,,,,
Hein,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.60%,Submit
,,,,,,,,,
Setford,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.10%,Submit
,,,,,,,,,
Clarke,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.60%,Submit
,,,,,,,,,
Kacurri,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.20%,Submit
,,,,,,,,,
Nichols,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.20%,Submit
,,,,,,,,,
F�bio Vieira,,,,,,,,,
MD 5.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.00%,Submit
,,,,,,,,,
Kabia,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.30%,Submit
,,,,,,,,,
G.Jesus,,,,,,,,,
FW 6.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.00%,Submit
,,,,,,,,,
Gauci,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.50%,Submit
,,,,,,,,,
Marschall,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.00%,Submit
,,,,,,,,,
Sousa,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.30%,Submit
,,,,,,,,,
Yasin,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.20%,Submit
,,,,,,,,,
Barrenechea,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.00%,Submit
,,,,,,,,,
Dobbin,,,,,,,,,
MD 5.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.10%,Submit
,,,,,,,,,
Broggio,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.30%,Submit
,,,,,,,,,
Dendoncker,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.40%,Submit
,,,,,,,,,
Young,,,,,,,,,
MD 4.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.70%,Submit
,,,,,,,,,
Neto,,,,,,,,,
GK 4.5,,,,,,,,,
0,0,0,0,0,0,0,0,0.40%,Submit
,,,,,,,,,
McKenna,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.20%,Submit
,,,,,,,,,
Paulsen,,,,,,,,,
GK 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.10%,Submit
,,,,,,,,,
Zabarnyi,,,,,,,,,
DF 5.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.20%,Submit
,,,,,,,,,
Bevan,,,,,,,,,
DF 4.0,,,,,,,,,
0,0,0,0,0,0,0,0,0.20%,Submit
